Название,Дата,Место,Жанр,Ссылка
Ольга Малащенко,15 мая в 20:00," Фольклорный центр «Москва»",Юмор,https://www.afisha.ru/concert/olga-malashchenko-2211024/
Тимур Джанкезов Сольный концерт,22 марта и 5 апреля," Coin Hall",Юмор,https://www.afisha.ru/concert/timur-dzhankezov-solniy-koncert-2231529/
Женский Stand Up,Март," Petter",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-2249646/
Женщины-комики,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/zhenshchiny-komiki-2150687/
Евгений Чебатков. StandUp. Проверочный концерт,29 марта в 18:30," Club №1",Юмор,https://www.afisha.ru/concert/evgeniy-chebatkov-standup-proverochniy-koncert-2226470/
Стас Старовойтов Stand Up концерт,29 марта в 22:30," Coin Hall",Юмор,https://www.afisha.ru/concert/stas-starovoytov-stand-up-koncert-2226322/
Женский Stand-up на Арбате,Март - май," Евгенич",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-na-arbate-2222080/
Валентин Сидоров,21 марта в 19:30," ДК «Мир»",Юмор,https://www.afisha.ru/concert/valentin-sidorov-2236564/
Стендап комики,Март апрель," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/stendap-komiki-2218311/
Самые известные комики,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/samye-izvestnye-komiki-2214237/
Stand Up,Март - май," Ритм-блюз",Юмор,https://www.afisha.ru/concert/stand-up-2216507/
Женская стендап. Проверка материала,18 20 и 25 марта," На 2 площадках",Юмор,https://www.afisha.ru/concert/zhenskaya-stendap-proverka-materiala-2215386/
Благотворительный стендап,24 марта 14 и 28 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/blagotvoritelniy-stendap-2150685/
Элитный Stand Up,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/elitniy-stand-up-2216423/
Женский стендап в театре,23 и 30 марта 6 апреля," На 3 площадках",Юмор,https://www.afisha.ru/concert/zhenskiy-stendap-v-teatre-2237956/
Stand Up | Опытные комики с TV и YouTube,Март," Standup Brothers",Юмор,https://www.afisha.ru/concert/stand-up-opytnye-komiki-s-tv-i-youtube-2117580/
Стендап в Депо,Март," Lounge Депо",Юмор,https://www.afisha.ru/concert/stendap-v-depo-2250193/
Standup «Лично»: Юлия Ахмедова,21 апреля в 19:00," ДК «Звезда»",Юмор,https://www.afisha.ru/concert/standup-lichno-yuliya-ahmedova-2237790/
Женский стендап концерт,26 и 27 марта," Standup Café",Юмор,https://www.afisha.ru/concert/zhenskiy-stendap-koncert-2249232/
Иван Абрамов. Мои девочки,28 апреля в 19:00," Театр музыки и шоу «III РИМ»",Юмор,https://www.afisha.ru/concert/ivan-abramov-moi-devochki-2225776/
Главный концерт недели StandUp_Msk,Март," На 2 площадках",Юмор,https://www.afisha.ru/concert/glavniy-koncert-nedeli-standup-msk-2213990/
Варвара Щербакова,23 ноября в 18:00," КСЦ «Мечта»",Юмор,https://www.afisha.ru/concert/varvara-shcherbakova-2248780/
StandUp Алексей Щербаков,25 мая в 19:00," ДК Щелково",Юмор,https://www.afisha.ru/concert/standup-aleksey-shcherbakov-2249971/
Роман Косицын. Сольный концерт,23 марта в 19:20," Coin Hall",Юмор,https://www.afisha.ru/concert/roman-kosicyn-solniy-koncert-2226554/
Stand Up в среду,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/stand-up-v-sredu-2216422/
Woman Stand Up,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/woman-stand-up-2214226/
Техническая вечеринка Stand Up на ТНТ,20 и 28 марта," Standup Brothers",Юмор,https://www.afisha.ru/concert/tehnicheskaya-vecherinka-stand-up-na-tnt-2235483/
Книжный стендап,24 марта 7 и 21 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/knizhniy-stendap-2228313/
Валентин Сидоров,5 апреля в 19:30," Люберецкий ДК",Юмор,https://www.afisha.ru/concert/valentin-sidorov-2236621/
Standup. Сольный концерт: Расул Чабдаров,27 апреля в 22:00," Club №1",Юмор,https://www.afisha.ru/concert/standup-solniy-koncert-rasul-chabdarov-2232812/
Шоу историй,21 марта 4 и 18 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/shou-istoriy-2216066/
Stand Up. Только Черные Комики,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/stand-up-tolko-chernye-komiki-2214225/
Только комики с ТВ,Март - июнь," Ferragosto",Юмор,https://www.afisha.ru/concert/tolko-komiki-s-tv-2234149/
